order_id,order_date,region,product,customer,units,unit_price,revenue
ORD-000001,2025-10-16,Europe,Starter,"Rodriguez, Figueroa and Sanchez",12,45.69,548.28
ORD-000002,2024-05-22,MEA,Scale,Doyle Ltd,11,535.03,5885.33
ORD-000003,2024-03-30,Europe,Growth,"Mcclain, Miller and Henderson",1,170.93,170.93
ORD-000004,2024-08-26,MEA,Growth,Davis and Sons,1,202.66,202.66
ORD-000005,2025-03-05,North America,Starter,"Guzman, Hoffman and Baldwin",10,45.74,457.4
ORD-000006,2026-02-16,Asia Pacific,Scale,"Gardner, Robinson and Lawrence",12,487.42,5849.04
ORD-000007,2024-06-08,Latin America,Starter,Blake and Sons,6,43.15,258.9
ORD-000008,2024-04-09,North America,Growth,"Henderson, Ramirez and Lewis",6,205.19,1231.14
ORD-000009,2026-01-17,Latin America,Growth,Garcia-James,2,227.25,454.5
ORD-000010,2024-03-21,Asia Pacific,Growth,Abbott-Munoz,11,206.08,2266.88
ORD-000011,2025-08-14,Europe,Starter,Blair PLC,2,42.32,84.64
ORD-000012,2026-03-02,North America,Starter,Dudley Group,2,54.22,108.44
ORD-000013,2025-01-24,Europe,Starter,Arnold Ltd,11,53.91,593.01
ORD-000014,2025-01-14,North America,Growth,"Mcclure, Ward and Lee",11,185.09,2035.99
ORD-000015,2025-09-15,Europe,Growth,Williams and Sons,9,212.68,1914.12
ORD-000016,2025-04-18,Europe,Growth,Galloway-Wyatt,11,210.23,2312.53
ORD-000017,2025-12-02,North America,Starter,James Group,1,45.02,45.02
ORD-000018,2024-11-19,MEA,Growth,"Flowers, Martin and Kelly",2,181.75,363.5
ORD-000019,2026-01-05,Latin America,Starter,"Adams, Zuniga and Wong",11,48.99,538.89
ORD-000020,2024-05-26,MEA,Starter,"Reid, Ferguson and Sanchez",4,52.6,210.4
ORD-000021,2024-09-26,Latin America,Scale,Gray-Mayo,7,558.55,3909.85
ORD-000022,2025-01-05,North America,Starter,"Watts, Robinson and Nguyen",3,49.14,147.42
ORD-000023,2026-02-12,Europe,Starter,Perez Inc,2,43.9,87.8
ORD-000024,2026-03-22,Latin America,Scale,Morales-Jones,10,433.66,4336.6
ORD-000025,2025-09-02,MEA,Enterprise,"Walter, Edwards and Rios",9,1387.21,12484.89
ORD-000026,2024-01-12,MEA,Scale,Wilkerson-Day,2,526.2,1052.4
ORD-000027,2026-02-07,Asia Pacific,Starter,Baker and Sons,11,46.65,513.15
ORD-000028,2025-03-21,Asia Pacific,Starter,"Hoffman, Baker and Richards",1,55.67,55.67
ORD-000029,2025-05-27,Asia Pacific,Scale,"Ross, Robinson and Bright",9,560.77,5046.93
ORD-000030,2025-10-16,Europe,Growth,"Snyder, Campos and Callahan",4,178.27,713.08
ORD-000031,2025-07-06,MEA,Enterprise,Burton Ltd,9,1687.2,15184.8
ORD-000032,2024-11-27,Asia Pacific,Growth,Carlson-Cruz,2,224.62,449.24
ORD-000033,2024-09-02,North America,Starter,"Ferrell, Rice and Maddox",10,55.57,555.7
ORD-000034,2026-01-19,MEA,Growth,Frazier Inc,2,227.54,455.08
ORD-000035,2026-02-23,MEA,Starter,"Dyer, Potter and Mack",11,48.64,535.04
ORD-000036,2024-06-18,Europe,Starter,Rodriguez-Graham,10,47.87,478.7
ORD-000037,2025-07-06,Asia Pacific,Scale,Smith-Bowen,12,454.26,5451.12
ORD-000038,2025-02-12,MEA,Enterprise,"Baker, Mason and White",11,1442.08,15862.88
ORD-000039,2025-04-07,North America,Starter,Harrell LLC,4,42.59,170.36
ORD-000040,2025-08-25,North America,Growth,"Romero, Gonzalez and Brooks",10,182.3,1823.0
ORD-000041,2025-12-25,North America,Growth,Ryan PLC,4,173.17,692.68
ORD-000042,2024-12-04,Latin America,Starter,George Group,4,45.74,182.96
ORD-000043,2024-08-07,MEA,Growth,Rodriguez LLC,12,225.0,2700.0
ORD-000044,2025-08-13,Europe,Growth,Allen-Allen,8,217.36,1738.88
ORD-000045,2024-04-06,Latin America,Starter,"Arroyo, Miller and Tucker",7,46.86,328.02
ORD-000046,2025-04-23,North America,Scale,Spence PLC,1,524.95,524.95
ORD-000047,2024-03-03,North America,Growth,Anderson Group,6,216.95,1301.7
ORD-000048,2024-09-11,Latin America,Starter,"Martin, Rose and Obrien",9,48.24,434.16
ORD-000049,2024-07-06,North America,Starter,Hickman Ltd,4,54.5,218.0
ORD-000050,2025-03-29,MEA,Scale,"Harris, Collins and Carney",9,438.81,3949.29
ORD-000051,2024-01-16,Latin America,Enterprise,"Brooks, Lam and Hayes",4,1348.94,5395.76
ORD-000052,2025-05-07,Europe,Starter,Walker LLC,7,54.92,384.44
ORD-000053,2025-01-23,Latin America,Starter,Chapman and Sons,7,45.55,318.85
ORD-000054,2024-10-19,MEA,Growth,"Robinson, Jones and Welch",12,228.58,2742.96
ORD-000055,2025-11-08,Europe,Scale,Jones Inc,3,452.58,1357.74
ORD-000056,2024-02-29,Asia Pacific,Growth,Jones-Young,9,172.79,1555.11
ORD-000057,2024-02-28,MEA,Starter,"Washington, Ryan and Cummings",8,49.04,392.32
ORD-000058,2024-06-10,Europe,Starter,"Johnston, Sanchez and Kennedy",9,42.83,385.47
ORD-000059,2024-03-11,Latin America,Growth,Lee-Davis,11,220.6,2426.6
ORD-000060,2024-05-02,MEA,Enterprise,Gomez-Jenkins,10,1384.87,13848.7
ORD-000061,2024-02-10,MEA,Growth,"Brown, Valdez and Lucas",7,208.4,1458.8
ORD-000062,2025-06-19,Asia Pacific,Starter,Powell LLC,5,44.65,223.25
ORD-000063,2024-09-01,Asia Pacific,Starter,Wright and Sons,3,51.52,154.56
ORD-000064,2025-04-13,MEA,Starter,"West, Henderson and Ramirez",2,41.79,83.58
ORD-000065,2025-07-30,MEA,Enterprise,Baxter Inc,2,1515.92,3031.84
ORD-000066,2024-09-28,Europe,Starter,Morton-Chase,6,54.6,327.6
ORD-000067,2025-01-13,Asia Pacific,Starter,Williams PLC,8,53.91,431.28
ORD-000068,2025-09-18,MEA,Enterprise,Novak and Sons,11,1512.01,16632.11
ORD-000069,2024-11-02,Europe,Enterprise,Russell Group,2,1696.39,3392.78
ORD-000070,2024-09-27,Europe,Starter,Hancock Inc,2,52.56,105.12
ORD-000071,2024-10-05,Europe,Starter,Gray Group,4,52.2,208.8
ORD-000072,2025-12-04,Asia Pacific,Growth,House-Glover,5,199.32,996.6
ORD-000073,2024-02-22,North America,Starter,Henderson-Bernard,7,53.84,376.88
ORD-000074,2024-01-04,Asia Pacific,Starter,"Stanley, Tucker and Lee",3,51.02,153.06
ORD-000075,2024-06-14,MEA,Scale,Novak PLC,9,529.79,4768.11
ORD-000076,2024-01-10,MEA,Starter,"Daniels, Adkins and Brown",12,54.94,659.28
ORD-000077,2024-02-06,Latin America,Scale,"Woods, Calhoun and Schmidt",10,506.86,5068.6
ORD-000078,2024-05-10,North America,Starter,Yu Inc,6,54.87,329.22
ORD-000079,2025-01-01,Asia Pacific,Starter,Jones Inc,4,51.45,205.8
ORD-000080,2026-03-09,Europe,Growth,"Hensley, Powell and David",7,227.29,1591.03
ORD-000081,2024-08-30,North America,Scale,"Sanchez, Wheeler and Harvey",3,556.1,1668.3
ORD-000082,2024-07-02,Latin America,Scale,Sandoval-Cunningham,6,541.27,3247.62
ORD-000083,2026-04-01,Asia Pacific,Scale,Donovan-Harris,12,545.52,6546.24
ORD-000084,2024-06-12,North America,Scale,"Edwards, Baker and Anderson",2,481.42,962.84
ORD-000085,2025-04-26,Europe,Starter,"Evans, Stewart and Walton",8,46.79,374.32
ORD-000086,2024-08-16,Asia Pacific,Starter,Smith PLC,4,47.51,190.04
ORD-000087,2024-03-12,MEA,Enterprise,"Ferrell, Jones and Lewis",5,1432.06,7160.3
ORD-000088,2025-02-13,North America,Scale,Anderson-Bailey,9,473.72,4263.48
ORD-000089,2024-04-28,Asia Pacific,Scale,Suarez LLC,5,450.88,2254.4
ORD-000090,2024-02-09,Asia Pacific,Starter,Moore-Bass,7,46.73,327.11
ORD-000091,2025-03-22,MEA,Growth,"Turner, Riggs and Roman",9,176.05,1584.45
ORD-000092,2024-07-13,MEA,Starter,"Smith, Montoya and Evans",12,48.06,576.72
ORD-000093,2025-07-05,Europe,Scale,"Garcia, Humphrey and Baker",12,534.48,6413.76
ORD-000094,2025-01-07,MEA,Growth,Newton and Sons,11,224.12,2465.32
ORD-000095,2024-11-17,Asia Pacific,Scale,Campbell-Clark,2,531.9,1063.8
ORD-000096,2025-06-03,Asia Pacific,Starter,Harris-Walters,7,46.44,325.08
ORD-000097,2025-07-21,Latin America,Starter,Wagner-King,7,51.42,359.94
ORD-000098,2025-11-24,Asia Pacific,Scale,Davis Group,3,516.29,1548.87
ORD-000099,2025-02-19,Europe,Growth,Williams-Cook,1,187.29,187.29
ORD-000100,2025-03-16,Latin America,Scale,Walsh LLC,10,522.16,5221.6
ORD-000101,2025-03-28,Europe,Growth,Figueroa PLC,4,199.67,798.68
ORD-000102,2025-11-05,MEA,Starter,"Patterson, Smith and Jones",9,51.41,462.69
ORD-000103,2024-12-09,Europe,Starter,"Mckee, Gardner and Davenport",4,51.54,206.16
ORD-000104,2024-07-22,Latin America,Starter,"Tran, Jordan and Williams",1,45.25,45.25
ORD-000105,2025-09-17,MEA,Scale,Nolan-Flynn,2,492.33,984.66
ORD-000106,2024-07-18,Europe,Scale,Nolan and Sons,7,498.16,3487.12
ORD-000107,2024-05-31,North America,Scale,"Wright, Garcia and Deleon",1,557.78,557.78
ORD-000108,2026-03-08,MEA,Growth,Dickson-Brady,3,217.16,651.48
ORD-000109,2025-04-20,North America,Starter,Hancock and Sons,4,55.14,220.56
ORD-000110,2025-04-12,MEA,Starter,Johnson-Doyle,8,51.46,411.68
ORD-000111,2025-09-01,MEA,Starter,Patton-Jenkins,8,50.66,405.28
ORD-000112,2025-03-12,Europe,Scale,"Shields, Cochran and Adams",9,490.9,4418.1
ORD-000113,2026-01-31,Europe,Scale,"Rodriguez, Brennan and Garrison",8,462.95,3703.6
ORD-000114,2025-10-14,Europe,Starter,Gonzalez Group,9,48.77,438.93
ORD-000115,2024-10-08,Asia Pacific,Growth,Torres-Pope,12,186.21,2234.52
ORD-000116,2024-12-09,Europe,Starter,Walker Ltd,9,42.83,385.47
ORD-000117,2024-08-24,North America,Growth,Ross LLC,3,211.32,633.96
ORD-000118,2025-02-28,North America,Growth,Rasmussen LLC,9,196.97,1772.73
ORD-000119,2024-07-30,MEA,Scale,May-Ross,7,559.6,3917.2
ORD-000120,2025-12-13,North America,Starter,"Rivera, Johnson and Wiley",10,47.24,472.4
ORD-000121,2024-12-26,Latin America,Starter,White-Estes,7,54.2,379.4
ORD-000122,2025-07-05,Europe,Scale,Johnson-Carlson,9,543.89,4895.01
ORD-000123,2025-05-14,Latin America,Starter,Chandler-Edwards,7,48.79,341.53
ORD-000124,2024-12-10,Latin America,Scale,"Joyce, Wilson and Lam",7,532.56,3727.92
ORD-000125,2024-05-10,Latin America,Enterprise,Scott Ltd,9,1286.28,11576.52
ORD-000126,2025-08-29,Latin America,Growth,Smith-Frost,1,174.16,174.16
ORD-000127,2024-05-18,Latin America,Scale,"Mcdaniel, Bentley and Mclaughlin",3,431.68,1295.04
ORD-000128,2024-12-01,Latin America,Starter,Diaz Inc,6,46.61,279.66
ORD-000129,2024-10-11,North America,Scale,"Mccall, Hanson and Alvarado",7,461.92,3233.44
ORD-000130,2025-04-26,Asia Pacific,Starter,Cortez LLC,9,42.42,381.78
ORD-000131,2024-08-17,North America,Scale,"Parker, Ortiz and Powell",11,430.18,4731.98
ORD-000132,2024-09-10,Europe,Starter,Spencer-Lee,1,50.78,50.78
ORD-000133,2024-05-09,Europe,Growth,"Bentley, Byrd and Orr",2,202.82,405.64
ORD-000134,2025-04-21,MEA,Scale,"Carroll, Sullivan and Bass",6,449.27,2695.62
ORD-000135,2026-02-04,North America,Scale,Mitchell-Jordan,3,568.57,1705.71
ORD-000136,2025-08-15,Latin America,Starter,"Lawson, Morris and Ramos",5,50.11,250.55
ORD-000137,2025-02-10,Europe,Enterprise,"Lewis, Kennedy and Santana",4,1308.33,5233.32
ORD-000138,2024-04-14,MEA,Scale,"Jackson, Miller and Robertson",5,551.44,2757.2
ORD-000139,2024-05-03,Asia Pacific,Scale,"Harvey, Davis and Crane",10,541.31,5413.1
ORD-000140,2025-06-29,Asia Pacific,Growth,Chambers and Sons,6,173.27,1039.62
ORD-000141,2024-01-13,Asia Pacific,Scale,Hernandez Inc,8,439.95,3519.6
ORD-000142,2025-10-12,Latin America,Scale,Riggs PLC,8,530.03,4240.24
ORD-000143,2024-06-29,MEA,Scale,Gibson Ltd,11,464.58,5110.38
ORD-000144,2026-03-04,MEA,Growth,"Lee, Horton and Snyder",7,218.45,1529.15
ORD-000145,2024-10-01,North America,Starter,Hernandez Ltd,4,53.86,215.44
ORD-000146,2024-10-12,MEA,Scale,Stafford Inc,4,536.5,2146.0
ORD-000147,2025-09-16,Asia Pacific,Scale,Robinson-Brock,6,428.45,2570.7
ORD-000148,2024-07-05,Asia Pacific,Growth,"Holmes, Williams and Wright",6,216.78,1300.68
ORD-000149,2024-10-13,MEA,Scale,Bryant Group,12,555.9,6670.8
ORD-000150,2024-01-11,Latin America,Growth,"Schmidt, Hansen and Stewart",4,174.26,697.04
ORD-000151,2025-05-15,Latin America,Growth,Salazar-Ball,4,210.38,841.52
ORD-000152,2025-04-03,Latin America,Scale,"Simmons, Meadows and Griffin",2,468.2,936.4
ORD-000153,2025-12-09,Latin America,Starter,Manning Group,11,50.2,552.2
ORD-000154,2025-07-20,MEA,Growth,Green-Wright,7,228.65,1600.55
ORD-000155,2024-12-04,Asia Pacific,Growth,"Ramirez, Strickland and Washington",8,185.32,1482.56
ORD-000156,2024-08-24,MEA,Starter,Hill Inc,4,46.29,185.16
ORD-000157,2026-02-19,Latin America,Scale,"Mitchell, Nelson and Flores",4,456.54,1826.16
ORD-000158,2024-10-10,North America,Scale,"Miller, Hernandez and Reyes",9,513.49,4621.41
ORD-000159,2024-07-17,North America,Starter,Mccarthy Inc,6,44.29,265.74
ORD-000160,2025-12-26,North America,Growth,Russell-Daniels,5,171.87,859.35
ORD-000161,2025-07-20,Latin America,Starter,Brown-Wall,3,51.03,153.09
ORD-000162,2024-04-15,Latin America,Scale,Stein-Silva,10,466.72,4667.2
ORD-000163,2025-03-27,Latin America,Starter,"Smith, Gilmore and Johnston",1,45.36,45.36
ORD-000164,2024-04-26,MEA,Scale,Smith-Bell,7,497.76,3484.32
ORD-000165,2025-10-06,MEA,Scale,Castaneda-Ashley,3,446.48,1339.44
ORD-000166,2024-11-07,Latin America,Starter,Medina-Navarro,4,43.39,173.56
ORD-000167,2025-09-12,MEA,Growth,"Hurst, Freeman and Nelson",10,182.62,1826.2
ORD-000168,2025-01-24,MEA,Growth,Johnson-Rogers,8,186.9,1495.2
ORD-000169,2025-03-15,North America,Starter,"Yates, Ramsey and Pittman",10,42.54,425.4
ORD-000170,2026-02-20,North America,Starter,Hooper PLC,4,45.54,182.16
ORD-000171,2024-06-09,North America,Starter,Meadows PLC,9,42.75,384.75
ORD-000172,2025-02-22,North America,Growth,"Alvarado, Miller and Patterson",10,197.2,1972.0
ORD-000173,2024-08-25,Latin America,Starter,White-Green,5,51.98,259.9
ORD-000174,2024-03-13,MEA,Scale,Lewis-Murphy,5,542.09,2710.45
ORD-000175,2025-11-08,MEA,Scale,Ramirez-Bean,4,487.79,1951.16
ORD-000176,2024-08-18,North America,Growth,King-Miller,5,218.5,1092.5
ORD-000177,2024-03-02,MEA,Starter,Curry Inc,5,50.4,252.0
